event_id_alias	measurementType	measurementTypeID	measurementValue	measurementValueID	measurementUnit	measurementUnitID	measurementAccuracy	measurementRemarks
SMHIFiltrated16S10	temperature		13.8		°C			
SMHIFiltrated16S11	temperature		13.3		°C			
SMHIFiltrated16S12	temperature		12.9		°C			
SMHIFiltrated16S13	temperature		13.7		°C			
SMHIFiltrated16S14	temperature		14.7		°C			
SMHIFiltrated16S15	temperature		17.3		°C			
SMHIFiltrated16S17	temperature		17.4		°C			
SMHIFiltrated16S18	temperature		16.7		°C			
SMHIFiltrated16S19	temperature		18.2		°C			
SMHIFiltrated16S1	temperature		16.9		°C			
SMHIFiltrated16S20	temperature		19.1		°C			
SMHIFiltrated16S21	temperature		17.8		°C			
SMHIFiltrated16S22	temperature		18.3		°C			
SMHIFiltrated16S2	temperature		17.4		°C			
SMHIFiltrated16S3	temperature		16.9		°C			
SMHIFiltrated16S4	temperature		16.8		°C			
SMHIFiltrated16S5	temperature		16.9		°C			
SMHIFiltrated16S6	temperature		14.5		°C			
SMHIFiltrated16S7	temperature		15.3		°C			
SMHIFiltrated16S8	temperature		15.1		°C			
SMHIFiltrated16S9	temperature		13.3		°C			
SMHIFiltrated16S10	salinity		2.21		psu			
SMHIFiltrated16S11	salinity		2.37		psu			
SMHIFiltrated16S12	salinity		2.9		psu			
SMHIFiltrated16S13	salinity		3.13		psu			
SMHIFiltrated16S14	salinity		5.64		psu			
SMHIFiltrated16S15	salinity		6.1		psu			
SMHIFiltrated16S17	salinity		6.57		psu			
SMHIFiltrated16S18	salinity		7.27		psu			
SMHIFiltrated16S19	salinity		8.03		psu			
SMHIFiltrated16S1	salinity		7.25		psu			
SMHIFiltrated16S20	salinity		9.73		psu			
SMHIFiltrated16S21	salinity		19.81		psu			
SMHIFiltrated16S22	salinity		24.2		psu			
SMHIFiltrated16S2	salinity		7.23		psu			
SMHIFiltrated16S3	salinity		6.97		psu			
SMHIFiltrated16S4	salinity		6.79		psu			
SMHIFiltrated16S5	salinity		5.84		psu			
SMHIFiltrated16S6	salinity		5.36		psu			
SMHIFiltrated16S7	salinity		5.2		psu			
SMHIFiltrated16S8	salinity		4.65		psu			
SMHIFiltrated16S9	salinity		2.75		psu			
